"","accuracy","heading","latitude","longitude","speed","timestamp"
"332",4,0,39.987857,-83.0264428,0,1516232143
"333",3.9,0,39.9878574,-83.026442,0,1516232144
"334",3.9,0,39.9878596,-83.0264459,0,1516232145
"335",3.9,0,39.9878596,-83.0264459,0,1516232146
"336",3.9,0,39.9878605,-83.0264463,0,1516232147
"337",3.9,0,39.9878604,-83.0264458,0,1516232148
"338",3.9,0,39.9878604,-83.0264458,0,1516232149
"339",3.9,0,39.9878605,-83.0264458,0,1516232150
"340",3.9,0,39.9878602,-83.0264452,0,1516232151
"341",3.9,0,39.9878604,-83.0264454,0,1516232152
"342",3.9,0,39.9878604,-83.0264454,0,1516232153
"343",3.9,0,39.9878605,-83.0264456,0,1516232154
"344",3.9,0,39.9878605,-83.0264456,0,1516232155
"345",3.9,0,39.9878605,-83.0264455,0,1516232156
"346",3.9,0,39.9878605,-83.0264454,0,1516232157
"347",3,0,39.9878604,-83.0264454,0,1516232158
"348",3.9,0,39.9878604,-83.0264454,0,1516232159
"349",3.9,0,39.9878604,-83.0264454,0,1516232160
"350",3.9,0,39.9878605,-83.0264454,0,1516232161
"351",3.9,0,39.9878604,-83.0264454,0,1516232162
"352",3.9,0,39.9878603,-83.0264449,0,1516232163
"353",3.9,0,39.9878603,-83.0264449,0,1516232164
"354",3.9,0,39.9878603,-83.0264449,0,1516232165
"355",3.9,0,39.9878602,-83.0264446,0,1516232166
"356",3.9,94,39.9878615,-83.0264344,0.94,1516232167
"357",3.9,94,39.9878614,-83.0264332,0.9,1516232168
"358",3.9,94,39.9878607,-83.0264226,0.9,1516232169
"359",3.9,0,39.9878589,-83.0264201,0,1516232170
"360",3.9,0,39.9878587,-83.0264231,0,1516232171
"361",3.9,0,39.9878604,-83.026424,0,1516232172
"362",3.9,0,39.987861,-83.0264224,0,1516232173
"363",3.9,0,39.9878609,-83.0264225,0,1516232174
"364",3.9,0,39.9878609,-83.0264226,0,1516232175
"365",3.9,0,39.9878634,-83.026424,0,1516232176
"366",3.9,0,39.9878652,-83.0264226,0,1516232177
"367",3,0,39.987866,-83.0264221,0,1516232178
"368",4,0,39.9878653,-83.0264213,0,1516232179
"369",4,0,39.9878654,-83.0264204,0,1516232180
"370",4,0,39.9878651,-83.0264204,0,1516232181
"371",4,0,39.9878649,-83.0264204,0,1516232182
"372",4,0,39.9878647,-83.0264198,0,1516232183
"373",4,0,39.9878646,-83.0264192,0,1516232184
"374",4,0,39.9878644,-83.0264188,0,1516232185
"375",4,0,39.9878643,-83.0264186,0,1516232186
